completed_steps,train_loss,validation_loss,learning_rate,grad_norm
20,8.765772104263306,,2.8499999999999998e-05,1.4564372630650426
40,7.860989212989807,,5.85e-05,2.26573178048252
60,6.874072819948196,,8.849999999999998e-05,2.0829398146165508
80,5.882499486207962,,0.0001185,1.3883824097003201
100,5.105835437774658,,0.00014849999999999998,0.5821325861586102
120,4.5592677891254425,,0.00017849999999999997,0.38111750674086897
140,4.165836125612259,,0.00020849999999999997,0.4789670176161329
160,3.9160507768392563,,0.0002385,0.4756457963287694
180,3.7377018481492996,,0.00026849999999999997,0.5758934115347817
200,3.5750556886196136,3.5471122026443482,0.0002985,0.3586421823857203
220,3.371250167489052,,0.00029999749535682954,0.35407510535938874
240,3.2841881066560745,,0.0002999894473008021,0.38100809861498164
260,3.2314002960920334,,0.0002999758492247182,0.4751773610815436
280,3.137562096118927,,0.00029995670168765545,0.47356439006649503
300,3.0530255883932114,,0.00029993200547685485,0.35106070173142057
320,3.044133275747299,,0.0002999017616076881,0.6217653077160146
340,2.942207098007202,,0.0002998659713236159,0.5183280351982856
360,2.9069493263959885,,0.000299824636096137,0.7484769145381938
380,2.89724600315094,,0.0002997777576247275,0.733108439933177
400,2.8621715009212494,2.8227312684059145,0.000299725337836771,0.550659288871837
420,2.800731837749481,,0.00029966737888747965,0.48214395065253196
440,2.8342536836862564,,0.0002996038831598049,0.41065308945575557
460,2.7440145313739777,,0.00029953485326434043,0.4598226517399816
480,2.736763447523117,,0.0002994602920392138,0.5371325862931977
500,2.6768088191747665,,0.0002993802025499707,0.439192119141239
520,2.676270455121994,,0.00029929458808944826,0.4400483642929414
540,2.6316318958997726,,0.00029920345217763995,0.5172752861376219
560,2.6268463730812073,,0.00029910679856155075,0.5121927964667966
580,2.6053260266780853,,0.0002990046312150433,0.4745522933301525
600,2.6382886916399,2.561758828163147,0.0002988969543386742,0.4452510124966651
620,2.532743513584137,,0.0002987837723595215,0.44133896179293997
640,2.5118611603975296,,0.0002986650899310028,0.38178490117541297
660,2.4781724512577057,,0.0002985409119326835,0.5178179885606856
680,2.487575486302376,,0.0002984112434700768,0.48864229762265754
700,2.494179144501686,,0.0002982760898744332,0.6084829265719799
